index,trace_p,trace_r,trace_f1,trace_aupr,event_p,event_r,event_f1,event_aupr,attr_p,attr_r,attr_f1,attr_aupr,time
gigantic-0.05-1.json.gz,0.864516129032258,0.5583333333333333,0.6784810126582278,0.670340484323166,0,0,0,0,0,0,0,0,2.302844285964966
gigantic-0.05-1.json.gz,0.864516129032258,0.5583333333333333,0.6784810126582278,0.670340484323166,0,0,0,0,0,0,0,0,2.2682158946990967
p2p-0.05-1.json.gz,1.0,0.7896678966789668,0.8824742268041237,0.8129792957230071,0,0,0,0,0,0,0,0,2.067509651184082
BPIC12-0.05.json.gz,0.0991756182862852,0.6774744027303754,0.1730224449771192,0.095659190880909,0,0,0,0,0,0,0,0,18.657217502594
BPIC12-0.10.json.gz,0.1661884265901482,0.6453110492107706,0.2643088039551245,0.1598883894661319,0,0,0,0,0,0,0,0,18.824726343154907
BPIC12-0.15.json.gz,0.2253456221198156,0.622533418204965,0.3309084757232279,0.2163613980114782,0,0,0,0,0,0,0,0,19.0975604057312
BPIC12-0.20.json.gz,0.2546532305868405,1.0,0.4059340451667769,0.2727666297758766,0,0,0,0,0,0,0,0,19.55200743675232
BPIC12-0.25.json.gz,0.3160971223021582,0.9996445076430855,0.480314288154411,0.3411880752994304,0,0,0,0,0,0,0,0,23.94770336151123
BPIC12-0.30.json.gz,0.354706985983887,0.9993781094527364,0.523580679319052,0.3807065006401488,0,0,0,0,0,0,0,0,21.20314216613769
BPIC12-0.35.json.gz,0.409811320754717,0.9994740993952144,0.5812815415201101,0.4289693903061263,0,0,0,0,0,0,0,0,20.28049683570861
BPIC12-0.40.json.gz,0.4601862509155592,0.9995454545454544,0.630221394282439,0.4745452481452217,0,0,0,0,0,0,0,0,19.86844301223755
BPIC12-0.45.json.gz,0.4993318943365197,0.9995884773662552,0.6659812187264377,0.5155794245226172,0,0,0,0,0,0,0,0,21.63170051574707
BPIC13_closed_problems-0.05.json.gz,0.1160714285714285,0.609375,0.195,0.0991784797687477,0,0,0,0,0,0,0,0,0.9596197605133056
BPIC13_closed_problems-0.10.json.gz,0.1849710982658959,0.6037735849056604,0.2831858407079645,0.1643107243398844,0,0,0,0,0,0,0,0,1.0042808055877686
BPIC13_closed_problems-0.15.json.gz,0.2563667232597623,0.7743589743589744,0.3852040816326531,0.2403584558946834,0,0,0,0,0,0,0,0,1.009690523147583
BPIC13_closed_problems-0.20.json.gz,0.3110047846889952,0.7926829268292683,0.4467353951890034,0.3154613237014735,0,0,0,0,0,0,0,0,1.0560400485992432
BPIC13_closed_problems-0.25.json.gz,0.3901345291479821,0.7885196374622356,0.522,0.3846882934542029,0,0,0,0,0,0,0,0,1.0721664428710938
BPIC13_closed_problems-0.30.json.gz,0.4344262295081967,0.8302872062663186,0.5704035874439461,0.4261188943006661,0,0,0,0,0,0,0,0,1.0793921947479248
BPIC13_closed_problems-0.35.json.gz,0.4614285714285714,0.7672209026128266,0.5762711864406779,0.4474248427526983,0,0,0,0,0,0,0,0,1.0454764366149902
BPIC13_closed_problems-0.40.json.gz,0.5197183098591549,0.7655601659751037,0.6191275167785234,0.4909162994269076,0,0,0,0,0,0,0,0,1.0730955600738523
BPIC13_closed_problems-0.45.json.gz,0.5759897828863346,0.7954144620811288,0.6681481481481483,0.5408517889866594,0,0,0,0,0,0,0,0,1.0657947063446045
BPIC13_open_problems-0.05.json.gz,0.055045871559633,0.5,0.0991735537190082,0.0415638321389145,0,0,0,0,0,0,0,0,0.3037779331207275
BPIC13_open_problems-0.10.json.gz,0.1439393939393939,0.4523809523809524,0.2183908045977011,0.1241433002692312,0,0,0,0,0,0,0,0,0.2923452854156494
BPIC13_open_problems-0.15.json.gz,0.2721518987341772,0.5180722891566265,0.3568464730290456,0.2227960249000522,0,0,0,0,0,0,0,0,0.3019721508026123
BPIC13_open_problems-0.20.json.gz,0.2473867595818815,0.6826923076923077,0.3631713554987212,0.2407332378961965,0,0,0,0,0,0,0,0,0.295243501663208
BPIC13_open_problems-0.25.json.gz,0.3,0.7622950819672131,0.4305555555555556,0.31036697150236,0,0,0,0,0,0,0,0,0.3027219772338867
BPIC13_open_problems-0.30.json.gz,0.4393939393939394,0.6987951807228916,0.5395348837209302,0.4139308452823932,0,0,0,0,0,0,0,0,0.3062155246734619
BPIC13_open_problems-0.35.json.gz,0.4421768707482993,0.7386363636363636,0.5531914893617021,0.4119307652262151,0,0,0,0,0,0,0,0,0.2996649742126465
BPIC13_open_problems-0.40.json.gz,0.4793103448275862,0.6405529953917051,0.5483234714003945,0.4164013853030686,0,0,0,0,0,0,0,0,0.3182737827301025
BPIC13_open_problems-0.45.json.gz,0.5555555555555556,0.7531380753138075,0.6394316163410302,0.529263331445158,0,0,0,0,0,0,0,0,0.3062148094177246
BPIC15_1-0.05.json.gz,0.0586206896551724,1.0,0.1107491856677524,0.0586206896551724,0,0,0,0,0,0,0,0,9.89136266708374
BPIC15_1-0.10.json.gz,0.1006018916595012,1.0,0.1828125,0.1006018916595012,0,0,0,0,0,0,0,0,10.890917539596558
BPIC15_1-0.15.json.gz,0.1496539792387543,0.9942528735632185,0.2601503759398496,0.1496427953329366,0,0,0,0,0,0,0,0,10.486943244934082
BPIC15_1-0.20.json.gz,0.2018900343642611,1.0,0.3359542530378842,0.2018900343642611,0,0,0,0,0,0,0,0,10.570773839950562
BPIC15_1-0.25.json.gz,0.2598967297762478,0.993421052631579,0.4120054570259209,0.2598817981240624,0,0,0,0,0,0,0,0,11.262955904006958
BPIC15_1-0.30.json.gz,0.3222506393861892,0.9947368421052633,0.4867997424339987,0.3222302728611963,0,0,0,0,0,0,0,0,11.43840193748474
BPIC15_1-0.35.json.gz,0.3603066439522998,0.9976415094339622,0.5294117647058824,0.3602979070248451,0,0,0,0,0,0,0,0,10.548794746398926
BPIC15_1-0.40.json.gz,0.4224872231686541,0.9959839357429718,0.5933014354066987,0.4224603548586712,0,0,0,0,0,0,0,0,13.104992628097534
BPIC15_1-0.45.json.gz,0.4893977947413062,0.9948275862068966,0.6560545764639,0.4893685119083642,0,0,0,0,0,0,0,0,11.840351581573486
BPIC15_2-0.05.json.gz,0.0435835351089588,1.0,0.0835266821345707,0.0435835351089588,0,0,0,0,0,0,0,0,9.367960453033447
BPIC15_2-0.10.json.gz,0.0983009708737864,1.0,0.1790055248618784,0.0983009708737864,0,0,0,0,0,0,0,0,9.478665113449097
BPIC15_2-0.15.json.gz,0.1476997578692493,1.0,0.2573839662447257,0.1476997578692493,0,0,0,0,0,0,0,0,11.416550159454346
BPIC15_2-0.20.json.gz,0.1905339805825242,1.0,0.3200815494393476,0.1905339805825242,0,0,0,0,0,0,0,0,11.021540641784668
BPIC15_2-0.25.json.gz,0.2704326923076923,1.0,0.4257332071901608,0.2704326923076923,0,0,0,0,0,0,0,0,9.783849716186523
BPIC15_2-0.30.json.gz,0.3269230769230769,1.0,0.4927536231884058,0.3269230769230769,0,0,0,0,0,0,0,0,9.923968315124512
BPIC15_2-0.35.json.gz,0.3168674698795181,1.0,0.4812442817932296,0.3168674698795181,0,0,0,0,0,0,0,0,10.078063488006592
BPIC15_2-0.40.json.gz,0.397094430992736,1.0,0.5684575389948007,0.397094430992736,0,0,0,0,0,0,0,0,10.020216941833496
BPIC15_2-0.45.json.gz,0.4782608695652174,0.9974811083123426,0.6465306122448979,0.4782581053132608,0,0,0,0,0,0,0,0,10.40817904472351
BPIC15_3-0.05.json.gz,0.0619865571321882,1.0,0.1167369901547116,0.0619865571321882,0,0,0,0,0,0,0,0,12.011924266815186
BPIC15_3-0.10.json.gz,0.1043997017151379,0.9929078014184396,0.1889338731443994,0.1043690015066674,0,0,0,0,0,0,0,0,12.153544664382936
BPIC15_3-0.15.json.gz,0.1630677587490692,0.9864864864864864,0.2798722044728434,0.1630286680055896,0,0,0,0,0,0,0,0,11.840349674224854
BPIC15_3-0.20.json.gz,0.2080237741456166,0.99644128113879,0.3441917639827904,0.2080128706194645,0,0,0,0,0,0,0,0,13.561321020126345
BPIC15_3-0.25.json.gz,0.2728613569321534,0.9946236559139784,0.4282407407407407,0.2728272973958298,0,0,0,0,0,0,0,0,12.589382410049438
BPIC15_3-0.30.json.gz,0.312824314306894,0.9882903981264636,0.4752252252252252,0.3127481049790184,0,0,0,0,0,0,0,0,12.954371452331545
BPIC15_3-0.35.json.gz,0.3561946902654867,0.9897540983606558,0.5238611713665944,0.356107487747875,0,0,0,0,0,0,0,0,12.659194469451904
BPIC15_3-0.40.json.gz,0.3889293517844137,0.9870609981515712,0.5579937304075234,0.3886360379268807,0,0,0,0,0,0,0,0,13.037129878997805
BPIC15_3-0.45.json.gz,0.4747252747252747,0.9953917050691244,0.6428571428571428,0.4747041974922159,0,0,0,0,0,0,0,0,13.685418128967283
BPIC15_4-0.05.json.gz,0.0477099236641221,1.0,0.0910746812386156,0.0477099236641221,0,0,0,0,0,0,0,0,8.211028337478638
BPIC15_4-0.10.json.gz,0.1003824091778202,1.0,0.1824500434404865,0.1003824091778202,0,0,0,0,0,0,0,0,8.143144369125366
BPIC15_4-0.15.json.gz,0.1596558317399617,1.0,0.2753503709810387,0.1596558317399617,0,0,0,0,0,0,0,0,8.416499853134155
BPIC15_4-0.20.json.gz,0.2032288698955365,1.0,0.3378058405682715,0.2030513576994575,0,0,0,0,0,0,0,0,8.229998588562012
BPIC15_4-0.25.json.gz,0.2528625954198473,0.9962406015037594,0.4033485540334856,0.2528616517752047,0,0,0,0,0,0,0,0,8.374614477157593
BPIC15_4-0.30.json.gz,0.3073263558515699,1.0,0.470160116448326,0.3073263558515699,0,0,0,0,0,0,0,0,8.667794466018677
BPIC15_4-0.35.json.gz,0.3527168732125834,1.0,0.521494009866103,0.3527168732125834,0,0,0,0,0,0,0,0,8.859317302703857
BPIC15_4-0.40.json.gz,0.3898951382268827,1.0,0.561042524005487,0.3898951382268827,0,0,0,0,0,0,0,0,8.503305673599243
BPIC15_4-0.45.json.gz,0.4548049476688868,1.0,0.6252452583387836,0.4548049476688868,0,0,0,0,0,0,0,0,8.805067777633667
BPIC15_5-0.05.json.gz,0.0475778546712802,1.0,0.0908340214698596,0.0469678187015331,0,0,0,0,0,0,0,0,12.447729587554932
BPIC15_5-0.10.json.gz,0.1024305555555555,1.0,0.1858267716535433,0.1024305555555555,0,0,0,0,0,0,0,0,11.916149139404297
BPIC15_5-0.15.json.gz,0.1501736111111111,1.0,0.2611320754716981,0.1501736111111111,0,0,0,0,0,0,0,0,12.786822319030762
BPIC15_5-0.20.json.gz,0.2234782608695652,1.0,0.3653162757640369,0.2234782608695652,0,0,0,0,0,0,0,0,12.633557796478271
BPIC15_5-0.25.json.gz,0.2504347826086956,1.0,0.4005563282336579,0.2504347826086956,0,0,0,0,0,0,0,0,13.359258890151978
BPIC15_5-0.30.json.gz,0.3036332179930796,1.0,0.4658261446582614,0.3038189138847539,0,0,0,0,0,0,0,0,12.43476152420044
BPIC15_5-0.35.json.gz,0.3232235701906412,1.0,0.4885396201702685,0.3232235701906412,0,0,0,0,0,0,0,0,13.41142964363098
BPIC15_5-0.40.json.gz,0.3958333333333333,1.0,0.5671641791044776,0.3958333333333333,0,0,0,0,0,0,0,0,13.310399532318115
BPIC15_5-0.45.json.gz,0.4550173010380622,1.0,0.6254458977407847,0.4549394896333433,0,0,0,0,0,0,0,0,13.846987962722778
BPIC17_offer_log-0.05.json.gz,0.8116469517743403,0.8297674418604651,0.8206071757129716,0.8258804088986975,0,0,0,0,0,0,0,0,14.740820169448853
BPIC17_offer_log-0.10.json.gz,0.9020553159096676,0.8174292940905955,0.8576598311218335,0.8306388983781312,0,0,0,0,0,0,0,0,16.903983116149902
BPIC17_offer_log-0.15.json.gz,0.9356820234869015,0.8167481469799717,0.8721791849107444,0.8419691250387592,0,0,0,0,0,0,0,0,17.342350721359253
BPIC17_offer_log-0.20.json.gz,0.952085301660143,0.8231038506417736,0.8829088178233933,0.859450541075564,0,0,0,0,0,0,0,0,17.673911094665527
BPIC17_offer_log-0.25.json.gz,0.9634678298800436,0.8184344603983326,0.8850488354620586,0.8687763493073984,0,0,0,0,0,0,0,0,17.822113037109375
BPIC17_offer_log-0.30.json.gz,0.9716894135005532,0.8177091417041751,0.8880741677201855,0.8825325499115821,0,0,0,0,0,0,0,0,17.75856637954712
BPIC17_offer_log-0.35.json.gz,0.8591703056768559,0.8320338311087617,0.8453843571668346,0.8820216220235613,0,0,0,0,0,0,0,0,18.55842614173889
